firstName,lastName,DOB,birthCountry,deathDate,careerStart,careerEnd
Steven,Rosenblum,,,,,
Eric,Simonson,1960-01-01,United States ,,,
Jason,Quenneville,1982-01-01,Canada,,2003,
Russell,Carpenter,1950-01-01,United States,,1978,
Harry,Hallenberger,1877-01-01,United States,1954-03-04,1921,1947
Lionel,Rogosin,1924-01-22,United States,2000-12-08,,
Ernest,Gold,1921-01-01,Austria,1999-03-17,,
Clarence,Greene,1913-01-01,United States,1995-06-17,1944,1966
James,Brooks,1940-01-01,United States,,1965,
Trần,Hùng,1962-01-01,South Vietnam,,1989,
Don,Digirolamo,,,,1978,2011
Ennio,Morricone,1928-01-01,Italy,2020-07-01,1946,2020
Glenn,Freemantle,,,,1981,
Albert,Whitlock,1915-01-01,United Kingdom,1999-10-01,,
Ralph,Jester,1901-01-01,United States,1991-09-25,1934,1959
Coya,Elliott,,,,,
Nedeljko,Dragić,1936-01-01,Yugoslavia,,,
Aaron,Blaise,1968-01-01,United States,,,
Andrew,Lowe,1968-02-01,"",,,
Andre,Guttfreund,1946-01-01,El Salvador,,1976,
Damián,Szifron,1975-01-01,Argentina,,1992,
Catherine,Martin,1965-01-01,Australia,,1988,
Philip,Dunne,1908-01-01,United States,1992-06-02,,
Marshall,Herskovitz,1952-01-01,United States,,1976,
Peter,Honess,1946-01-01,United Kingdom,,,
Brian,Simmons,,,,1966,
Mikael,Håfström,,Sweden,,1987,
Martin,Brest,1951-01-01,United States,,1972,2003
Robert,Stone,,United Kingdom,,,
Robert,MacDonald,1912-01-01,United States,1989-05-12,1945,1986
Moss,Hart,1904-01-01,United States,1961-12-20,,
Tom,Fleischman,1951-01-01,United States,,1978,
Jason,Robards,1922-01-01,United States,2000-12-26,1947,2000
H.,Giger,1940-01-01,Switzerland,2014-05-01,,
Anthony,Masters,1919-11-01,United Kingdom,1990-05-01,1949,1987
Montgomery,Clift,1920-01-01,United States,1966-07-23,1934,1966
Martial,Corneville,,,,1989,
John,Hench,1908-06-29,United States,2004-02-05,1939,2004
Joey,McFarland,1972-01-01,United States,,,
Shūhei,Morita,1978-01-01,Japan,,,
Walter,Matthau,1920-01-01,United States,2000-07-01,1948,2000
Ted,Smith,1886-01-01,United States,1949-06-19,1936,1949
Frederic,Aspiras,,,,,
Laurence,Bennett,,,,,
Jane,Robinson,,,,1972,
Colleen,LaBaff,,,,,
Ralph,Berger,1904-01-01,United States,1960-12-12,1932,1960
Sarah,Greenwood,,,,,
Cale,Boyter,1972-01-01,,,,
Janet,Patterson,1956-01-01,Australia,2016-10-01,1984,2015
Guneet,Monga,1983-01-01,India,,,
Jakob,Schuh,1976-01-01,Germany,,1997,
Stuart,Reiss,1921-01-01,United States,2014-12-21,1947,1986
Gene,Kelly,1912-01-01,United States,1996-02-02,1931,1994
Ian,Dalrymple,1903-01-01,South Africa,1989-03-01,,
Ryan,Coogler,1986-01-01,United States,,2009,
David,Silverman,1957-01-01,United States,,,
George,Jr.,1932-01-01,United States,,,
Heath,Ledger,1979-01-01,Australia,2008-01-01,1991,2008
John,Zaritksy,1943-01-01,Canada,2022-03-01,1976,2016
Doris,Day,1922-01-01,United States,2019-05-13,1937,2012
H.,Warner,1876-01-01,United Kingdom,1958-12-01,1896,1958
Ira,Gershwin,1896-01-01,United States,1983-08-17,,
Paul,Witt,1941-01-01,United States,2018-04-27,1966,2018
Laurence,Mark,1949-01-01,United States,,,
Lesley,Paterson,1980-01-01,Scotland,,,
Steve,Coogan,1965-01-01,United Kingdom,,1988,
Stan,Parks,,,,1980,
James,Grant,1905-01-01,United States,1966-02-19,1935,1966
Jóhann,Jóhannsson,1969-01-01,Iceland,2018-02-01,1987,2018
Byron,Howard,1968-01-01,Japan,,,
William,Sarokin,,,,1984,
Al,Hoffman,1902-01-01,Russia,1960-07-21,,
Andrew,Birkin,1945-01-01,United Kingdom,,1972,
Paul,Webster,1952-01-01,United Kingdom,,1988,
Lucien,Ballard,1904-01-01,United States,1988-10-01,1929,1978
Clark,Gable,1901-01-01,United States,1960-11-16,1924,1960
Michael,Pollard,1939-01-01,United States,2019-11-20,1958,2012
Antonella,Cannarozzi,,Italy,,,
Michael,Dunn,1934-01-01,United States,1973-08-30,,
Jill,Clayburgh,1944-01-01,United States,2010-11-05,1968,2010
David,Sirota,1975-01-01,United States,,,
Henny,Noremark,1942-01-01,,,,
Harry,Tetrick,1911-01-01,,1977-03-17,1966,1976
Quinn,Redeker,1936-01-01,United States,2022-12-20,1960,2022
Fred,Jr.,1903-01-01,United States,1973-02-18,1930,1950
Alan,Alda,1936-01-01,United States,,1955,
Henry,Fonda,1905-01-01,United States,1982-08-12,1928,1981
Louise,Fletcher,1934-01-01,United States,2022-09-23,1955,2017
Arthur,Schmidt,1937-01-01,United States,2023-08-05,,
Mark,Ardington,,,2024-06-01,1998,2024
Donald,Mitchell,,,,1973,2002
Marvin,Hier,1939-01-01,United States,,,
Mark,Bridges,,United States,,,
Colin,Firth,1960-01-01,United Kingdom,,1983,
Hans,Zimmer,1957-01-01,Germany,,1977,
John,Carter,1907-01-01,United States,1982-02-22,1944,1980
David,Selznick,1902-01-01,United States,1965-06-22,1923,1957
Harold,Smith,1912-01-01,United States,1970-12-28,1957,1970
Sheldon,Kahn,1940-03-01,,,,
Tony,Bill,1940-01-01,United States,,1959,
Joseph,A.S.C.,1906-01-01,Mexico,1968-12-15,,
Kristine,Samuelson,,,,,
Al,Pacino,1940-01-01,United States,,1967,
Michael,Shannon,1974-01-01,United States,,1992,
Kathleen,York,,United States,,1984,
Michael,Keller,,,,,
Myron,Nettinga,1967-01-01,,,1989,
Masamichi,Satoh,,,,,
Billy,Thornton,1955-01-01,United States,,1974,
Letty,Aronson,1943-01-01,United States,,1994,
Martin,Ritt,1914-01-01,United States,1990-12-08,1950,1990
John,Steinbeck,1902-01-01,United States,1968-12-20,,
Gary,Rizzo,1972-01-01,United States,,1994,
Dede,Allen,1923-01-01,United States,2010-04-17,1948,2008
Slavko,Vorkapich,1894-01-01,Austria-Hungary,1976-10-20,,
Jim,Henson,1936-01-01,United States,1990-05-16,1954,1990
James,Galloway,1928-02-16,,1996-11-13,1969,1995
Shane,Boris,1981-01-01,United States,,2004,
Jonathan,Nolan,1976-01-01,United Kingdom,,1997,
Anthony,Coldeway,1887-01-01,United States,1963-01-29,1910,1954
Edward,Olmos,1947-01-01,United States,,1974,
Arthur,Dong,1953-01-01,United States,,,
H.,Koenekamp,1891-01-01,United States,1992-09-12,1914,1957
Jonas,Gwangwa,1937-01-01,South Africa,2021-01-01,1959,2021
Néstor,Almendros,1930-01-01,Spain,1992-03-01,1950,1991
Philippe,Falardeau,1968-01-01,Canada,,2000,
Gérard,Corbiau,1941-01-01,Belgium,,,
Charles,Wheeler,1915-01-01,United States,2004-10-28,,
Mike,Lerner,,,,,
Robert,Zemeckis,1952-01-01,United States,,1972,
Janet,Jackson,1966-01-01,United States,,1974,
Robert,Kenner,,United States,,1971,
Elizabeth,Vasarhelyi,1977-01-01,,,2003,
Carmen,Dragon,1914-01-01,United States,1984-03-28,,
Malcolm,Clarke,,,,,
Richard,Kline,1926-01-01,United States,2018-08-07,1943,1997
Frank,Borzage,1894-01-01,United States,1962-06-19,,
Chloé,Zhao,1982-01-01,China,,2008,
John,Bush,,,,,
Peter,Capaldi,1958-01-01,Scotland,,1974,
Herman,Raucher,1928-01-01,United States,2023-12-28,,
Al,Reinert,1947-01-01,Japan,2018-12-31,1973,2018
David,M.P.S.E.,1947-01-01,United States,,1975,2004
Paul,Sylbert,1928-01-01,United States,2016-11-19,1951,2008
Raoul,Bois,1914-01-01,United States,1985-01-01,1934,1934
José,Rivera,1955-01-01,Puerto Rico ,,,
Peter,Bebb,,,,2000,
Franco,Zeffirelli,1923-01-01,Italy,2019-06-01,,
Andy,García,1956-01-01,Cuba,,1978,
Michael,Coulter,1952-01-01,United Kingdom,,1972,
Chris,Lebenzon,,United States,,1981,
George,Dutton,1899-01-01,United States,1977-05-13,1937,1958
William,McGann,1893-01-01,United States,1977-11-15,1930,1942
David,Lee,1938-01-01,Scotland,2008-10-16,1973,2008
Jaime,Newman,1978-01-01,United States,,2000,
Nellie,Bellflower,1946-01-01,United States,,1969,
Calder,Willingham,1922-01-01,United States,1995-02-19,,
Ernest,Laszlo,1898-01-01,Austria-Hungary,1984-01-06,1928,1977
Jean-Charles,Tacchella,1925-01-01,France,2024-08-01,1955,2010
Roko,Belić,,,,1993,
Oliver,Messel,1904-01-01,United Kingdom,1978-07-01,,
Willard,Veer,1894-01-01,United States,1963-06-16,1930,1963
Taika,Waititi,1975-01-01,New Zealand,,1999,
Joel,Hynek,,,,1980,
Herman,Blumenthal,1916-01-01,United States,1986-03-30,1955,1981
Mike,Figgis,1948-01-01,United Kingdom,,1984,
Markus,Frank,,,,,
Roma,Baran,,,,,
David,Paymer,1954-01-01,United States,,1979,
Chris,Weitz,1969-01-01,United States,,1998,
Sean,Connery,1930-01-01,Scotland,2020-10-01,1954,1954
David,Newman,1954-01-01,United States,,1977,
William,Gazecki,,,,,
Ian,Emes,1949-01-01,United Kingdom,2023-07-01,,
Scott,Smith,1953-01-01,United States,,1975,
Smriti,Mundhra,,United States,,,
Carol,Hemming,,,,1980,
Katja,Benrath,1979-01-01,Germany,,2000,
Clarence,Maclin,1966-01-01,United States,,,
César,Charlone,1950-01-01,Uruguay,,1985,
Edwin,Burke,1889-01-01,United States,1944-09-26,1928,1936
Guy,Nattiv,1973-01-01,Israel,,2007,
Luis,Buñuel,1900-01-01,Spain,1983-07-01,1929,1977
Tony,Huston,1950-01-01,United States,,,
Judy,Davis,1955-01-01,Australia,,1977,
Artie,Shaw,1910-01-01,United States,2004-12-30,1925,1954
Deniz,Ergüven,1978-01-01,Turkey,,2006,
Lizzy,Gardiner,1966-01-01,Australia,,,
Julian,Krainin,,,,1965,
Tom,Howard,1910-01-01,United Kingdom,1985-08-01,1940,1974
Lalo,Schifrin,1932-01-01,Argentina,,1950,
Aaron,Glascock,,,,1984,
Trevor,Griffiths,1935-01-01,United Kingdom,2024-03-01,,
Manos,Hatzidakis,1925-01-01,Greece,1994-06-01,1944,1994
Casey,Roberts,1901-01-01,United States,1949-05-29,1917,1949
Harvey,Miller,1935-01-01,United States,1999-01-08,1957,1999
Cameron,Crowe,1957-01-01,United States,,1972,
Robert,Knudson,1925-01-01,United States,2006-01-21,1963,1995
Gabriele,Salvatores,1950-01-01,Italy,,,
Lionel,Banks,1901-01-01,United States ,1950-03-20,1935,1949
George,Nelson,1927-01-01,,1992-08-25,1954,1991
Taizō,Kawashima,,,,1946,1992
David,Hildyard,1916-01-01,United Kingdom,2008-02-01,1946,1992
Kim,Gannon,1900-01-01,United States,1974-04-29,,
Kit,Thomas,1947-01-01,,,,
Bonnie,Arnold,,,,1984,
Károly,Makk,1925-01-01,Hungary,2017-08-01,1954,2017
Mikey,Madison,1999-01-01,United States,,2014,
Matthew,Wilder,1953-01-01,United States,,1972,
Cliff,Robertson,1923-01-01,United States,2011-09-10,1943,2007
Lina,Wertmüller,1928-01-01,Italy,2021-12-01,1963,2021
Joseph,Patel,1972-01-01,,,,
Burton,Lane,1912-01-01,United States,1997-01-05,,
Erik,Balling,1924-01-01,Denmark,2005-11-01,1952,1984
Frank,Daniel,1926-01-01,Czechoslovakia,1996-02-29,,
Mark,Coulier,1964-01-01,United Kingdom,,1988,
Charles,Brackett,1892-01-01,United States,1969-03-09,1925,1962
Harold,Pinter,1930-01-01,United Kingdom,2008-12-01,,
Rob,Reiner,1947-01-01,United States,,1966,
Luis,Resto,1961-01-01,United States,,1981,
Arthur,Hilton,1897-01-01,United Kingdom,1979-10-15,1928,1979
Dan,Wallin,1927-01-01,United States,2024-04-10,1965,2021
William,Holden,1918-01-01,United States,1981-11-12,1938,1981
Claude,Carpenter,1904-01-01,United States ,1976-02-18,1939,1968
Vanessa,Redgrave,1937-01-01,United Kingdom,,1958,
Walter,Lassally,1926-12-01,Germany,2017-10-01,1946,2016
Takamasa,Oe,1981-01-01,Japan,,,
Loïc,Espuche,1989-01-01,France,,,
Jonathan,Herman,1973-01-01,United States,,2007,
Charles,Hall,1888-01-01,United Kingdom,1970-04-08,,
Jeremy,Lubbock,1931-01-01,United Kingdom,2021-01-01,2019,2019
Dan,Hennah,,New Zealand,,1983,
Gena,Rowlands,1930-01-01,United States,2024-08-14,1949,2014
W.,Wolfe,,,,1944,1944
Solána,Rowe,1989-01-01,United States,,2011,
Mychael,Danna,1958-01-01,Canada,,1987,
Geraldine,Page,1924-01-01,United States,1987-06-13,1945,1987
Lajos,Koltai,1946-01-01,Hungary,,1965,2020
Harold,Faltermeyer,1952-01-01,Germany ,,1977,
Camille,Dalmais,1978-01-01,France,,2002,
Felix,Groeningen,1977-01-01,Belgium,,2000,
Joseph,Mankiewicz,1909-01-01,United States,1993-02-05,1929,1972
Pasqualino,Santis,1927-01-01,Italy,1996-06-01,1950,1996
Matthew,Wood,1972-01-01,United States,,1990,
Alvin,Sargent,1927-01-01,United States,2019-05-09,1956,2012
Kris,Kristofferson,1936-01-01,United States,2024-09-28,1959,2021
Isabelle,Adjani,1955-01-01,France,,1970,
Friðrik,Friðriksson,1954-01-01,Iceland,,,
Alexander,Jr.,1968-01-01,United States,,2014,
Veniero,Colasanti,1910-01-01,Italy,1996-06-01,,
Donald,Jahraus,1892-01-01,United States,1963-04-03,1930,1956
Edward,Stevenson,1906-01-01,United States,1968-12-02,1924,1968
Meg,LeFauve,1969-01-01,United States,,1998,
Ben,Os,1944-01-01,Netherlands,2012-07-01,1985,2004
Rock,Hudson,1925-01-01,United States,1985-10-02,1948,1985
Mike,Gabriel,1954-01-01,United States,,1979,
Johnny,Lange,1905-08-15,United States,2006-01-06,,
Stephen,Rea,1946-01-01,United Kingdom,,1962,
Michael,Silvers,,,,1978,
John,Reitz,,,,1976,
Warren,Newcombe,1894-01-01,United States,1960-08-03,1932,1957
Leslie,Carey,1895-01-01,Canada,1984-06-17,1947,1960
Iris,Yamashita,,United States,,,
Samuel,Beetley,1913-01-01,United States,1988-09-15,1937,1984
Dante,Spinotti,,Italy,,1972,
Ken,Chase,1942-01-01,United States,,1968,2001
Tom,Yellin,1953-01-01,,,1991,
Alec,Sokolow,,,,1992,
Humphrey,Bogart,1899-01-01,United States,1957-01-14,1921,1956
Jonathan,Stack,1957-01-01,United States,,,
Rod,McKuen,1933-01-01,United States,2015-01-29,1955,2004
Barbet,Schroeder,1941-01-01,Iran,,,
Marleen,Gorris,1948-01-01,Netherlands,,,
Colm,Bairéad,1981-01-01,Ireland,,,
Bruce,Stambler,,,,1982,1982
Daniel,Roher,1993-01-01,Canada,,,
Kieth,Merrill,1940-01-01,United States,,1973,
Dede,Gardner,1967-01-01,United States,,2006,
Seamus,McGarvey,1967-01-01,Northern Ireland,,,
Peter,Ellenshaw,1913-01-01,United Kingdom,2007-02-01,,
Tom,Eagles,,,,,
Jorge,Semprún,1923-01-01,Spain,2011-06-01,,
George,Harrison,1943-01-01,United Kingdom,2001-11-01,1958,2001
Elisabeth,Shue,1963-01-01,United States,,1982,
Ellen,Kuras,1959-01-01,United States,,1987,
Tomm,Moore,1977-01-01,United Kingdom,,1998,
Mitchell,Leisen,1898-01-01,United States,1972-10-28,1920,1967
Branko,Lustig,1932-01-01,Yugoslavia,2019-11-01,1955,2019
Angus,Wall,1967-01-01,,,,
Dan,Oliver,,,,1994,
Gabriel,Vargas,,,,2008,
Maurice,Chevalier,1888-01-01,France,1972-01-01,1900,1970
Don,Bassman,1927-01-01,United States,1993-01-24,1958,1992
Nan,Goldin,1953-01-01,United States,,,
Russell,Malmgren,1905-01-01,United States,1982-10-01,1930,1965
Jon,Shenk,,United States,,,
Cilia,Dijk,1941-01-01,Netherlands,2023-04-01,,
Dave,Mullins,,,,1994,
Irwin,Shaw,1913-01-01,United States,1984-05-16,,
Paul,Dehn,1912-01-01,United Kingdom,1976-09-01,1950,1974
Gethin,Creagh,,,,1967,
Gladys,George,1904-01-01,United States,1954-12-08,1918,1954
Gary,Busey,1944-01-01,United States,,1967,
Anna,Asp,1946-01-01,Sweden,,1971,
Dennis,Skotak,1943-01-01,United States,,,
Ashutosh,Gowariker,1964-01-01,India,,1984,
André,Previn,1929-01-01,Germany,2019-02-28,1943,2019
Ernest,Hipper,,,,,
Joachim,Trier,1974-01-01,Denmark,,2006,
Roberto,Benigni,1952-01-01,Italy,,1970,
Daniel,Lupi,,United Kingdom,,,
Tami,Lane,1974-01-01,United States,,,
Sergio,Renán,1933-01-01,Buenos Aires,2015-06-01,1951,2007
Françoise,Bonnot,1939-01-01,France,2018-06-01,,
J.,Naish,1896-01-01,United States,1973-01-24,1926,1971
Alex,Gibson,,,,1990,
Jack,Gilford,1908-01-01,United States,1990-06-04,1937,1989
Alexandra,Milchan,1972-01-01,,,,
Michael,Fassbender,1977-01-01,Germany,,2001,
Jean,Poiret,1926-01-01,France,1992-03-01,,
Willard,Dyke,1906-12-05,,1986-01-23,,
James,Hilton,1900-01-01,United Kingdom,1954-12-01,,
Thomas,Wright,1953-12-06,United States,,1993,
Graham,Moore,1981-01-01,United States,,,
Jim,Danforth,1940-01-01,United States,,,
Kim,Sinclair,1954-01-01,New Zealand,,1982,
Dennis,Ayling,1917-01-01,United Kingdom,1998-10-01,1937,1937
Gene,Autry,1907-01-01,United States,1998-10-02,1925,1964
Rithy,Panh,1964-01-01,Cambodia,,1989,
Anton,Grot,1884-01-01,Poland,1974-03-01,1916,1950
Laurence,Rosenthal,1926-01-01,United States,,1955,2002
Ted,Moore,1914-01-01,South Africa,1987-01-01,1939,1982
Roy,Davidson,1896-01-01,,1962-08-19,1932,1949
Nicolas,Chartier,,France,,,
Andrew,Garfield,1983-01-01,United States,,2004,
Tina,Earnshaw,,United Kingdom,,1970,
Neil,Corbould,1962-01-01,United Kingdom,,1978,
Jeff,Moss,1942-01-01,United States,1998-09-25,,
Ema,Yamazaki,1989-01-01,Japan,,2017,
William,Wilmarth,1904-01-01,Italy,1999-01-25,1933,1961
Raoul,Peck,1953-01-01,Haiti,,,
Damien,Megherbi,,,,,
Gene,Ruggiero,1910-01-01,United States,2002-02-19,,
John,Kahrs,1967-01-01,United States,,1990,
Nacho,Vigalondo,1977-01-01,Spain,,2002,
Bruce,Friedman,1930-01-01,United States,2020-06-03,,
John,Austin,1906-10-28,United States,1997-05-10,1947,1979
Peter,Vecho,1958-01-01,United States,,,
Tom,Stern,1946-01-01,United States,,1974,
Sharen,Davis,1957-01-01,,,1987,
Norman,Krasna,1909-01-01,United States,1984-11-01,1932,1964
Ralph,Wheelwright,1898-01-01,United States,1971-04-15,,
Lynn,Ahrens,1948-01-01,United States,,1973,
James,Toback,1944-01-01,United States,,,
Jeremy,Strong,1978-01-01,United States,,2004,
Shane,Connaughton,1941-01-01,Ireland,,1975,
Marshall,Mathers III,1972-01-01,United States,,1988,
Dorothy,Jeakins,1914-01-01,United States,1995-11-21,1948,1987
Robert,Hoyt,1925-01-01,United States,2012-09-09,1954,1990
Tom,Springfield,1934-01-01,United Kingdom,2022-07-01,1970,1970
Peter,Riegert,1947-01-01,United States,,1975,
Matt,Dillon,1964-01-01,United States,,1979,
Nicola,Badalucco,1929-01-01,Italy,2015-06-01,1969,2015
Robert,Vestel,1925-01-01,United States,1997-09-30,1965,1985
Douglas,Ganton,,,,1975,2009
Chris,Sanders,1962-01-01,United States,,1984,
Mark,Sanger,1974-01-01,United Kingdom,,,
Robert,Houston,1955-01-01,United States,,,
David,Parker,1951-01-01,,,1980,
Michael,Williams,1957-01-01,United States,,,
Eugenio,Caballero,1972-01-01,Mexico,,1997,
Jack,Collis,1923-01-01,United States,1998-02-01,1953,1992
Richard,Francis-Bruce,1948-01-01,Australia,,1978,
Herbert,Norsch,1908-01-01,United States,1955-07-28,1935,1955
Terence,Rattigan,1911-01-01,United Kingdom,1977-11-01,,
Frank,Vol,1911-01-01,United States,1999-10-27,1923,1999
Kori,Rae,,,,,
Ronald,Harwood,1934-01-01,South Africa,2020-09-01,1960,2015
Craig,Berkey,1962-01-01,Canada,,1990,
Colin,Nutley,1944-01-01,United Kingdom,,1976,
Scott,Stokdyk,1969-01-01,,,1995,
Mikkel,Nielsen,,Denmark,,,
Ben,Maddow,1909-01-01,United States,1992-10-09,,
Paul,Simon,1941-01-01,United States,,1956,
Kirill,Lavrov,1925-01-01,Russia,2007-04-01,1950,2007
Henry,Richardson,1936-01-01,United Kingdom,2017-07-01,,
Steven,Yeun,1983-01-01,South Korea,,2004,
Arthur,Lonergan,1906-01-01,United States,1989-01-23,1946,1971
Antonio,Castillo,1908-01-01,Spain,1984-05-01,1936,1972
Bill,Conti,1942-01-01,United States,,1969,
Ron,Bozman,,United States,,1974,1974
Danny,Cohen,1963-01-01,United Kingdom,,1994,
Anthony,Mondell,1916-01-01,United States,2009-05-15,1955,1983
Peter,Baynham,,Wales,,1987,
Charles,Lang,1902-01-01,United States,1998-04-03,1926,1973
Alec,Guinness,1914-01-01,United Kingdom,2000-08-01,1934,1996
Jonas,Rasmussen,1981-01-01,Denmark,,,
Michael,Paxton,1957-01-01,United States,,,
Edward,Saxon,1956-01-01,United States,,,
Gabriel,Scognamillo,1906-01-01,United States,1974-05-01,1931,1969
Cristina,Comencini,1956-01-01,Italy,,1982,
Cynthia,Erivo,1987-01-01,United Kingdom,,2010,
Marese,Langan,,,,,
Ralph,Rainger,1901-01-01,United States,1942-10-23,1922,1942
Sam,Spiegel,1901-01-11,Poland,1985-12-31,1927,1983
Leonard,Peterson,,,,1975,1992
Derek,Ball,,,1989-07-01,1968,1987
Nicholas,Бродский,1905-01-01,Russia,1958-12-24,1932,1958
Hannes,Nikel,1931-01-01,Germany,2001-09-01,1953,1998
Edson,Williams,1966-01-01,United States,,1982,
Anna,Senior,1941-01-01,Australia,,1969,2008
Henry,LaBounta,,,,,
Dan,Kaufman,,,,1995,
Lilly,Kilvert,1950-01-01,United States,,1977,
Francis,Lyon,1905-01-01,United States,1996-10-08,,
Fred,Albin,1903-01-01,,1968-05-03,1934,1960
Phillip,Borsos,1953-01-01,Australia,1995-02-02,,
Steve,Cantamessa,,,,1978,
Milton,Burrow,1920-01-01,United States,2017-01-01,1959,1995
Danny,Lee,1919-01-01,United States ,2014-11-28,1955,1980
Valerie,Perrine,1943-01-01,United States,,1971,2016
Robert,Evans,1930-01-01,United States,2019-10-26,1952,2016
Bob,Gardiner,1951-01-01,United States,2005-04-21,,
Bill,Damaschke,1963-01-01,United States,,,
Eskil,Vogt,1974-01-01,Norway,,,
Ray,Rennahan,1896-01-01,United States,1980-05-19,,
François,Truffaut,1932-01-01,France,1984-10-01,1955,1984
Brian,Grazer,1951-01-01,United States,,1978,
Marc,Platt,1957-01-01,United States,,,
F.,Crawley,1911-01-01,Canada,1987-05-13,,
A.,Watkins,1895-01-01,United Kingdom,1970-02-01,1930,1969
John,Lasseter,1957-01-01,United States,,1978,
Emily,Watson,1967-01-01,United Kingdom,,1992,
Marshall,Curry,1969-01-01,United States,,,
Harold,Humbrock,1905-01-01,United States,1993-02-09,1954,1958
Ring,Jr.,1915-01-01,United States,2000-10-31,1937,1977
Ryan,O'Neal,1941-01-01,United States,2023-12-08,1960,2017
Gene,Allen,1918-01-01,United States,2015-10-07,1938,1975
Alan,Campbell,1904-01-01,United States,1963-06-14,,
Hal,Wallis,1898-01-01,United States,1986-10-05,1923,1983
David,White,1964-01-01,United Kingdom,,1983,
William,Sands,1929-01-01,United States,2018-03-01,,
Frederick,Loewe,1901-01-01,Germany,1988-02-14,,
Brunson,Green,1967-11-01,United States,,,
Roman,Polanski,1933-01-01,France,,1953,
Bruce,Springsteen,1949-01-01,United States,,1964,
Douglas,Smythe,,,,,
Tom,Smith,1920-01-01,United Kingdom,2009-04-01,1950,1988
Chadwick,Boseman,1976-01-01,United States,2020-08-28,1993,2020
David,Rose,1910-01-01,United Kingdom,1990-08-23,1939,1990
SUnited Statesn,Seidelman,1952-01-01,United States,,1982,
Peter,Yates,1929-01-01,United Kingdom,2011-01-01,1958,2010
Agnès,Varda,1928-01-01,Belgium,2019-03-01,1951,2019
William,Gargan,1905-01-01,United States,1979-02-16,1925,1958
Walter,Rossi,1894-01-01,United States,1978-02-12,1953,1970
Cynthia,Sleiter,,,,1993,
Christine,Oestreicher,1940-10-01,,,,
Eduardo,Serra,1943-01-01,Portugal,,1971,2013
William,Hornbeck,1901-08-23,United States,1983-10-19,,
Elizabeth,Taylor,1932-01-01,United Kingdom,2011-03-23,1941,2007
James,Garner,1928-01-01,United States,2014-07-19,1954,2014
Scott,Benza,1974-01-01,,,1998,
John,Walker,1956-01-01,United States,,,
Larry,Tucker,1934-01-01,United States,2001-04-01,,
Lynn,Fontanne,1887-01-01,United Kingdom,1983-07-01,1905,1967
Bryan,Fogel,,United States,,,
Jeanne,Crain,1925-01-01,United States,2003-12-14,1943,1972
Ray,Binger,1888-01-01,United States,1970-09-29,1924,1948
Rodney,Rothman,,United States,,,
Dorree,Cooper,,United States,,1983,
Johnny,Depp,1963-01-01,United States,,1984,
Geoffrey,Patterson,1954-01-01,United States,,1985,
Bertrand,Tavernier,1941-01-01,France,2021-03-01,1960,2016
Rebecca,Cole,,,,,
Zana,Briski,1966-01-01,United Kingdom,,,
Sanzo,Wada,1883-01-01,Japan,1967-08-22,,
Nelson,Stoll,,,,1970,
Stewart,Stern,1922-01-01,United States,2015-02-02,1947,2015
Robert,Vaughn,1932-01-01,United States,2016-11-11,2016,2016
Ralph,Eggleston,1965-01-01,United States,2022-08-28,1983,2022
Amy,Berg,,,,,
Menno,Meyjes,1954-01-01,Netherlands,,,
Robert,Wise,1914-01-01,United States,2005-09-14,1934,2000
Brigitte,Broch,1943-01-01,Germany,,1978,
Gordon,Sim,,Canada,,1978,
Petter,Næss,1960-01-01,Norway,,,
Bina,Daigeler,,,,,
Andrew,Jackson,,,,1999,
Frances,McDormand,1957-01-01,United States,,1982,
Richard,Rush,1929-01-01,United States,2021-04-08,1960,2001
Jonathan,Sanger,1944-01-01,United States,,1971,
George,Tibbles,1913-01-01,,1987-02-14,,
Jennifer,Lawrence,1990-01-01,United States,,2006,
Jennifer,Lame,1981-01-01,United States,,2005,
Michael,McKean,1947-01-01,United States,,1967,
Timothy,Hutton,1960-01-01,United States,,1965,
Joel,Fein,1944-01-01,United States,2007-09-22,1957,2007
Allie,Wrubel,1905-01-01,United States,1973-12-13,,
Hugh,Hudson,1936-01-01,United Kingdom,2023-02-01,1967,2023
Habib,Zargarpour,1964-01-01,Iran,,1990,
Karen,O'Hara,,,,1981,
Nanni,Loy,1925-01-01,Italy,1995-08-01,,
Kit,West,1936-01-01,United Kingdom,2016-04-01,,
Peter,King,1955-01-01,United Kingdom,,1982,1982
Anne,Spielberg,1949-01-01,United States,,1968,
Raney,Aronson-Rath,,,,,
Hannah,Beachler,,,,,
William,Ludwig,1912-01-01,United States,1999-02-07,1938,1961
David,Wyman,,,,,
Todd,Haynes,1961-01-01,United States,,1985,
Barbara,McLean,1903-01-01,United States,1996-03-28,,
John,Rosengrant,,,,,
Mark,Andrews,1968-01-01,United States,,1994,
Marcel,Grignon,1914-11-01,France,1990-06-01,1937,1988
Jack,Kruschen,1922-01-01,Canada,2002-04-02,1939,1997
Karl,Malden,1912-01-01,United States,2009-07-01,1937,2000
Roma,Ryan,1950-01-01,Northern Ireland,,1982,1982
Mark,Andrus,1955-01-01,United States,,,
Lawrence,Tibbett,1896-01-01,United States,1960-07-15,,
David,Ronne,1943-01-01,United States,2007-01-23,1966,2007
David,Linde,1960-01-01,,,,
Jack,Poplin,1920-01-01,United States,2007-10-15,1950,1988
Harry,Revel,1905-01-01,United Kingdom,1958-11-03,1922,1922
David,Vickery,,,,2002,
